Id,Name,StockQuantity,Description,Review,PurchasePrice,RetailPrice,Markup,TotalPurchaseValue,TotalRetailValue,SoldQuantity,TotalQuantity,Location,Labels,Tags,UpdatedOn
217,door handle,5,"This is a Test  Description, for every item in the list.",,800,1200,33.33%,4000,6000,0,5,,,,1/18/2025
218,door handle TZ,8,"This is a Test  Description, for every item in the list.",,2000,3000,33.33%,16000,24000,0,8,,,,1/18/2025
219,water body VXR,1,"This is a Test  Description, for every item in the list.",,1800,2500,28.00%,1800,2500,0,1,,,,1/18/2025
220,crank pully 1kz,1,"This is a Test  Description, for every item in the list.",,2500,3000,16.67%,2500,3000,0,1,,,,1/18/2025
221,z-link GLI,1,"This is a Test  Description, for every item in the list.",,1200,2000,40.00%,1200,2000,0,1,,,,1/18/2025
222,shock shak got corolla 96,1,"This is a Test  Description, for every item in the list.",,2500,3500,28.57%,2500,3500,0,1,,,,1/18/2025
223,hub gerry GLI rear,2,"This is a Test  Description, for every item in the list.",,5500,7500,26.67%,11000,15000,0,2,,,,1/18/2025
224,Swift chimta,1,"This is a Test  Description, for every item in the list.",,4000,6000,33.33%,4000,6000,0,1,,,,1/18/2025
225,side plate 3L,2,"This is a Test  Description, for every item in the list.",,7000,8000,12.50%,14000,16000,0,2,x,,,1/18/2025
226,shock shak TZ DM,6,"This is a Test  Description, for every item in the list.",,7000,8000,12.50%,42000,48000,0,6,,,,1/18/2025
227,shock shak vigo,1,"This is a Test  Description, for every item in the list.",,8000,12000,33.33%,8000,12000,0,1,,,,1/18/2025
228,engine bracket litace,2,"This is a Test  Description, for every item in the list.",,2000,3000,33.33%,4000,6000,0,2,e,,,1/18/2025
229,Engine foundation GLI,6,"This is a Test  Description, for every item in the list.",,1400,2500,44.00%,8400,15000,0,6,,,,1/18/2025
230,rear foundation GLI,10,"This is a Test  Description, for every item in the list.",,2000,3500,42.86%,20000,35000,0,10,,,,1/18/2025
231,diesel OD foundation,1,"This is a Test  Description, for every item in the list.",,2500,3500,28.57%,2500,3500,0,1,,,,1/18/2025
232,engine foundation passo,4,"This is a Test  Description, for every item in the list.",,1000,1500,33.33%,4000,6000,0,4,,,,1/18/2025
233,gear foundation vitz + swift,2,"This is a Test  Description, for every item in the list.",,2500,3500,28.57%,5000,7000,0,2,,,,1/18/2025
234,diesel tapa,2,"This is a Test  Description, for every item in the list.",,3500,5000,30.00%,7000,10000,0,2,,,,1/18/2025
235,goda cross 96 corolla,2,"This is a Test  Description, for every item in the list.",,750,1300,42.31%,1500,2600,0,2,,,,1/18/2025
236,goda cross GLI + Vitz,11,"This is a Test  Description, for every item in the list.",,700,1200,41.67%,7700,13200,0,11,,,,1/18/2025
237,power machine 3 door,2,"This is a Test  Description, for every item in the list.",,9500,11000,13.64%,19000,22000,0,2,,,,1/18/2025
238,chimta pin 3 door,1,"This is a Test  Description, for every item in the list.",,1800,2500,28.00%,1800,2500,0,1,,,,1/18/2025
239,engine pully 3L,1,"This is a Test  Description, for every item in the list.",,4500,6000,25.00%,4500,6000,0,1,,,,1/18/2025
240,spring v8,1,"This is a Test  Description, for every item in the list.",,11000,16000,31.25%,11000,16000,0,1,,,,1/18/2025
241,spring TZ,1,"This is a Test  Description, for every item in the list.",,9000,16000,43.75%,9000,16000,0,1,,,,1/18/2025
242,spring vitz,7,"This is a Test  Description, for every item in the list.",,3500,5500,36.36%,24500,38500,0,7,,,,1/18/2025
243,shock shak glass rear,1,"This is a Test  Description, for every item in the list.",,250,400,37.50%,250,400,0,1,,,,1/18/2025
244,chimta TZ,3,"This is a Test  Description, for every item in the list.",,7000,9000,22.22%,21000,27000,0,3,,,,1/18/2025
245,brake cylinder G corolla,1,"This is a Test  Description, for every item in the list.",,3000,4500,33.33%,3000,4500,0,1,,,,1/18/2025
246,servey G corolla,1,"This is a Test  Description, for every item in the list.",,6000,9000,33.33%,6000,9000,0,1,,,,1/18/2025
247,check mate G corolla,2,"This is a Test  Description, for every item in the list.",,300,500,40.00%,600,1000,0,2,,,,1/18/2025
248,shak shock VXR,3,"This is a Test  Description, for every item in the list.",,1200,1800,33.33%,3600,5400,0,3,,,,1/18/2025
249,wall jane TZ Upper,2,"This is a Test  Description, for every item in the list.",,3000,8000,62.50%,6000,16000,0,2,,,,1/18/2025
250,wall jane Hiace Lower,2,"This is a Test  Description, for every item in the list.",,2500,7000,64.29%,5000,14000,0,2,,,,1/18/2025
251,wall jane v8 rear,2,"This is a Test  Description, for every item in the list.",,7000,9000,22.22%,14000,18000,0,2,,,,1/18/2025
252,horn geniune,4,"This is a Test  Description, for every item in the list.",,1200,1500,20.00%,4800,6000,0,4,,,,1/18/2025
253,horn china,5,"This is a Test  Description, for every item in the list.",,700,1000,30.00%,3500,5000,0,5,,,,1/18/2025
254,clipper G corolla,1,"This is a Test  Description, for every item in the list.",,1400,2500,44.00%,1400,2500,0,1,,,,1/18/2025
255,salap self garadi swift,1,"This is a Test  Description, for every item in the list.",,700,1200,41.67%,700,1200,0,1,,,,1/18/2025
256,steering box vitz UPMD,3,"This is a Test  Description, for every item in the list.",,8000,10000,20.00%,24000,30000,0,3,,,,1/18/2025
257,steering box vitz DM,1,"This is a Test  Description, for every item in the list.",,6500,9500,31.58%,6500,9500,0,1,,,,1/18/2025
258,shak shock OD,1,"This is a Test  Description, for every item in the list.",,6000,9000,33.33%,6000,9000,0,1,,,,1/18/2025
259,shak shock Vitz DM,1,"This is a Test  Description, for every item in the list.",,4000,7000,42.86%,4000,7000,0,1,,,,1/18/2025
260,Power Pipe 3 door,5,"This is a Test  Description, for every item in the list.",,2500,3500,28.57%,12500,17500,0,5,,,,1/18/2025
261,Oil guage,11,"This is a Test  Description, for every item in the list.",,300,400,25.00%,3300,4400,0,11,,,,1/18/2025
262,Oil guage mehran,3,"This is a Test  Description, for every item in the list.",,150,300,50.00%,450,900,0,3,,,,1/18/2025
263,jack rat rod,2,"This is a Test  Description, for every item in the list.",,200,300,33.33%,400,600,0,2,,,,1/18/2025
264,goda passo,1,"This is a Test  Description, for every item in the list.",,7000,9000,22.22%,7000,9000,0,1,,,,1/18/2025
265,front hub corolla,1,"This is a Test  Description, for every item in the list.",,2800,4000,30.00%,2800,4000,0,1,,,,1/18/2025
266,hub gerry swift 2007,1,"This is a Test  Description, for every item in the list.",,3500,4500,22.22%,3500,4500,0,1,,,,1/18/2025
267,wall jane vitz,3,"This is a Test  Description, for every item in the list.",,1500,2000,25.00%,4500,6000,0,3,,,,1/18/2025
268,goda glass vitz UPMD,1,"This is a Test  Description, for every item in the list.",,2500,3500,28.57%,2500,3500,0,1,,,,1/18/2025
269,goda glass XLI,1,"This is a Test  Description, for every item in the list.",,2500,3600,30.56%,2500,3600,0,1,,,,1/18/2025
270,goda glass 96 corolla,1,"This is a Test  Description, for every item in the list.",,3500,4500,22.22%,3500,4500,0,1,,,,1/18/2025
271,goda glass petroli 96 corolla,1,"This is a Test  Description, for every item in the list.",,2500,3500,28.57%,2500,3500,0,1,,,,1/18/2025
272,door handle G corolla,3,"This is a Test  Description, for every item in the list.",,1000,1500,33.33%,3000,4500,0,3,,,,1/18/2025
273,Window shesha motor GLI,1,"This is a Test  Description, for every item in the list.",,3200,4500,28.89%,3200,4500,0,1,,,,1/18/2025
274,Gear sangi 3L,4,"This is a Test  Description, for every item in the list.",,1200,1500,20.00%,4800,6000,0,4,,,,1/18/2025
275,Wam Litace,1,"This is a Test  Description, for every item in the list.",,1500,2000,25.00%,1500,2000,0,1,,,,1/18/2025
276,Wam vitz 1300,1,"This is a Test  Description, for every item in the list.",,5500,8000,31.25%,5500,8000,0,1,,,,1/18/2025
277,chabi key switch GLI,2,"This is a Test  Description, for every item in the list.",,3500,4500,22.22%,7000,9000,0,2,e,,,1/18/2025
278,electric coil,1,"This is a Test  Description, for every item in the list.",,5000,8000,37.50%,5000,8000,0,1,,,,1/18/2025
279,window shesha hadi GLI,3,"This is a Test  Description, for every item in the list.",,800,1200,33.33%,2400,3600,0,3,,,,1/18/2025
280,air cylinder TZ,1,"This is a Test  Description, for every item in the list.",,9000,11000,18.18%,9000,11000,0,1,,,,1/18/2025
281,hub tawa complete premio,1,"This is a Test  Description, for every item in the list.",,8500,10000,15.00%,8500,10000,0,1,,,,1/18/2025
282,hub tawa complete vitz,2,"This is a Test  Description, for every item in the list.",,8000,9000,11.11%,16000,18000,0,2,,,,1/18/2025
283,tie rat rod G corolla,3,"This is a Test  Description, for every item in the list.",,2500,3500,28.57%,7500,10500,0,3,,,,1/18/2025
284,shak shock 5 door,1,"This is a Test  Description, for every item in the list.",,8000,12000,33.33%,8000,12000,0,1,,,,1/18/2025
285,engine foundation vitz,2,"This is a Test  Description, for every item in the list.",,1000,1500,33.33%,2000,3000,0,2,,,,1/18/2025
286,timing foundation,4,"This is a Test  Description, for every item in the list.",,2500,4500,44.44%,10000,18000,0,4,,,,1/18/2025
287,engine foundation 86 corolla,1,"This is a Test  Description, for every item in the list.",,3000,4500,33.33%,3000,4500,0,1,,,,1/18/2025
288,engine foundation VXR,2,"This is a Test  Description, for every item in the list.",,800,1200,33.33%,1600,2400,0,2,,,,1/18/2025
289,jax corolla,3,"This is a Test  Description, for every item in the list.",,600,1000,40.00%,1800,3000,0,3,,,,1/18/2025
290,engine bracket chamber,1,"This is a Test  Description, for every item in the list.",,600,1000,40.00%,600,1000,0,1,,,,1/18/2025
291,gear foundation large corolla,4,"This is a Test  Description, for every item in the list.",,800,1400,42.86%,3200,5600,0,4,,,,1/18/2025
292,gear bush vitz,10,"This is a Test  Description, for every item in the list.",,600,800,25.00%,6000,8000,0,10,,,,1/18/2025
293,gear bush 98 corolla,4,"This is a Test  Description, for every item in the list.",,600,1000,40.00%,2400,4000,0,4,,,,1/18/2025
294,chimta bush vitz DM,1,"This is a Test  Description, for every item in the list.",,400,800,50.00%,400,800,0,1,,,,1/18/2025
295,chimta bush 98 corolla,3,"This is a Test  Description, for every item in the list.",,400,800,50.00%,1200,2400,0,3,,,,1/18/2025
296,chimta bush DM 94,1,"This is a Test  Description, for every item in the list.",,400,800,50.00%,400,800,0,1,,,,1/18/2025
297,chimta bush XLI,2,"This is a Test  Description, for every item in the list.",,500,1000,50.00%,1000,2000,0,2,,,,1/18/2025
298,timing foundation vitz DM,2,"This is a Test  Description, for every item in the list.",,600,1000,40.00%,1200,2000,0,2,,,,1/18/2025
299,gear foundation bush 98 corolla,2,"This is a Test  Description, for every item in the list.",,600,1000,40.00%,1200,2000,0,2,,,,1/18/2025
300,modling vitz 1000cc,1,"This is a Test  Description, for every item in the list.",,800,1200,33.33%,800,1200,0,1,,,,1/18/2025
301,engine foundation passo,2,"This is a Test  Description, for every item in the list.",,2000,3500,42.86%,4000,7000,0,2,,,,1/18/2025
302,engine foundation vitz,2,"This is a Test  Description, for every item in the list.",,2500,4000,37.50%,5000,8000,0,2,,,,1/18/2025
303,engine foundation premio,2,"This is a Test  Description, for every item in the list.",,3000,4500,33.33%,6000,9000,0,2,,,,1/18/2025
304,gear foundation rear,4,"This is a Test  Description, for every item in the list.",,3000,4500,33.33%,12000,18000,0,4,,,,1/18/2025
305,crank pully,4,"This is a Test  Description, for every item in the list.",,1500,3000,50.00%,6000,12000,0,4,e,,,1/18/2025
306,hub golla 5 door,2,"This is a Test  Description, for every item in the list.",,4500,7000,35.71%,9000,14000,0,2,,,,1/18/2025
307,chimta GLI,2,"This is a Test  Description, for every item in the list.",,4500,7000,35.71%,9000,14000,0,2,,,,1/18/2025
308,chimta G corolla,1,"This is a Test  Description, for every item in the list.",,4000,6000,33.33%,4000,6000,0,1,,,,1/18/2025
309,chimta vitz,2,"This is a Test  Description, for every item in the list.",,4000,6000,33.33%,8000,12000,0,2,,,,1/18/2025
